iter	Passed	Remaining
0	2	203
1	3	173
2	4	160
3	6	145
4	7	147
5	11	172
6	13	175
7	14	170
8	16	166
9	18	162
10	19	159
11	21	155
12	24	163
13	27	167
14	30	175
15	33	174
16	40	195
17	41	189
18	43	185
19	47	188
20	50	190
21	54	194
22	59	198
23	61	196
24	64	193
25	67	190
26	69	187
27	70	182
28	72	178
29	74	173
30	76	170
31	78	166
32	80	162
33	82	159
34	84	156
35	86	153
36	88	150
37	90	146
38	92	144
39	94	141
40	95	137
41	96	133
42	98	130
43	100	127
44	101	124
45	103	121
46	105	118
47	107	116
48	109	113
49	110	110
50	112	108
51	114	105
52	116	103
53	117	100
54	118	97
55	120	94
56	122	92
57	124	89
58	127	88
59	129	86
60	130	83
61	132	80
62	134	78
63	135	76
64	137	73
65	138	71
66	140	69
67	142	66
68	143	64
69	145	62
70	147	60
71	148	57
72	150	55
73	152	53
74	153	51
75	155	49
76	157	47
77	159	44
78	161	42
79	162	40
80	164	38
81	167	36
82	169	34
83	172	32
84	175	30
85	177	28
86	179	26
87	180	24
88	182	22
89	184	20
90	185	18
91	187	16
92	188	14
93	191	12
94	193	10
95	195	8
96	196	6
97	198	4
98	199	2
99	201	0
